item_code,item_name,item_group,stock_uom,selling_price,cago_display_name,cago_local_names,cago_public_description,cago_staff_advice,cago_use_cases,cago_crop_or_animal_targets,cago_package_color,cago_shelf_location,cago_stock_status_manual,cago_safety_notes,cago_is_chemical,cago_is_public_visible,image,cago_image_gallery
CAM-CONCO-GACON-25KG,Cám Con Cò gà con 25kg,Cám chăn nuôi,Bao,330000,Cám Con Cò gà con 25kg,"cám cò, bao con cò, cám gà con",Thức ăn hỗn hợp cho gà con.,Bán chạy,Nuôi gà con,Gà con 1-21 ngày,Xanh,Kệ cám,Còn hàng,,0,1,,
CAM-CONCO-GATHIT-25KG,Cám Con Cò gà thịt 25kg,Cám chăn nuôi,Bao,320000,Cám Con Cò gà thịt 25kg,cám cò gà thịt,Thức ăn cho gà thịt.,,Nuôi gà thịt,Gà thịt,Xanh,Kệ cám,Còn hàng,,0,1,,
CAM-CONCO-GADE-25KG,Cám Con Cò gà đẻ 25kg,Cám chăn nuôi,Bao,315000,Cám Con Cò gà đẻ 25kg,cám gà đẻ,Thức ăn cho gà đẻ trứng.,,Nuôi gà đẻ,Gà đẻ,Xanh,Kệ cám,Còn hàng,,0,1,,
CAM-CONCO-VIT-25KG,Cám Con Cò vịt 25kg,Cám chăn nuôi,Bao,310000,Cám Con Cò vịt 25kg,cám vịt,Thức ăn cho vịt.,,Nuôi vịt,Vịt,,Kệ cám,Còn hàng,,0,1,,
CAM-CP-HEOCON-25KG,Cám CP heo con tập ăn 25kg,Cám chăn nuôi,Bao,360000,Cám CP heo con tập ăn 25kg,"cám heo con, cám lợn con, cám CP",Thức ăn cho heo con tập ăn.,,Nuôi heo con,Heo/lợn con,,Kệ cám,Còn hàng,,0,1,,
CAM-CP-HEOTHIT-25KG,Cám CP heo thịt 25kg,Cám chăn nuôi,Bao,340000,Cám CP heo thịt 25kg,"cám heo thịt, cám lợn thịt",Thức ăn cho heo thịt.,,Nuôi heo thịt,Heo/lợn thịt,,Kệ cám,Còn hàng,,0,1,,
CAM-DAMDAC-HEO-25KG,Cám đậm đặc cho heo 25kg,Cám chăn nuôi,Bao,420000,Cám đậm đặc cho heo 25kg,cám đậm đặc,Cám đậm đặc trộn cho heo.,,Nuôi heo,Heo/lợn,,Kệ cám,Còn hàng,,0,1,,
CAM-CARGILL-CA-25KG,Cám Cargill cá 25kg,Cám chăn nuôi,Bao,300000,Cám Cargill cá 25kg,cám cá,Thức ăn nổi cho cá.,,Nuôi cá,Cá,,Kệ cám,Còn hàng,,0,1,,
CAM-GREENFEED-CA-25KG,Cám GreenFeed cá 25kg,Cám chăn nuôi,Bao,295000,Cám GreenFeed cá 25kg,cám cá greenfeed,Thức ăn cho cá.,,Nuôi cá,Cá,,Kệ cám,Còn hàng,,0,1,,
CAM-BO-VOBEO-25KG,Cám bò vỗ béo 25kg,Cám chăn nuôi,Bao,270000,Cám bò vỗ béo 25kg,"cám bò, cám trâu",Cám vỗ béo bò.,,Nuôi bò,Bò/trâu,,Kệ cám,Còn hàng,,0,1,,
CAM-DEHEUS-VIT-25KG,Cám De Heus vịt 25kg,Cám chăn nuôi,Bao,305000,Cám De Heus vịt 25kg,cám vịt de heus,Thức ăn cho vịt.,,Nuôi vịt,Vịt,,Kệ cám,Còn hàng,,0,1,,
PHAN-URE-PHUMY-50KG,Phân Urê Phú Mỹ 50kg,Phân bón,Bao,780000,Phân Urê Phú Mỹ 50kg,"đạm, phân đạm, urê",Phân đạm urê hạt đục.,,Bón thúc đạm,"Lúa, rau màu, cây ăn trái",,,Còn hàng,,0,1,,
PHAN-NPK-DAUTRAU-16168-50KG,Phân NPK Đầu Trâu 16-16-8 50kg,Phân bón,Bao,900000,Phân NPK Đầu Trâu 16-16-8 50kg,"npk, đầu trâu, phân 3 màu",Phân NPK tổng hợp 16-16-8.,,"Bón lúa, rau màu","Lúa, rau màu",,,Còn hàng,,0,1,,
PHAN-NPK-LAMTHAO-51030-50KG,Phân NPK Lâm Thao 5-10-3 50kg,Phân bón,Bao,430000,Phân NPK Lâm Thao 5-10-3 50kg,npk lâm thao,Phân NPK Lâm Thao.,,Bón lót,"Lúa, hoa màu",,,Còn hàng,,0,1,,
PHAN-LAN-VANDIEN-50KG,Phân Lân Văn Điển 50kg,Phân bón,Bao,210000,Phân Lân Văn Điển 50kg,"lân, phân lân",Phân lân nung chảy Văn Điển.,,Bón lót lân,"Lúa, cây trồng",,,Còn hàng,,0,1,,
PHAN-KALI-50KG,Phân Kali (Kali clorua) 50kg,Phân bón,Bao,820000,Phân Kali (Kali clorua) 50kg,"kali, phân kali",Phân kali clorua.,,Bón thúc kali,"Cây ăn trái, lúa",Đỏ,,Còn hàng,,0,1,,
PHAN-DAP-50KG,Phân DAP 50kg,Phân bón,Bao,1050000,Phân DAP 50kg,dap,Phân DAP.,,Bón lót/thúc,"Lúa, cây trồng",,,Còn hàng,,0,1,,
PHAN-HUUCO-SONGGIANH-25KG,Phân hữu cơ Sông Gianh 25kg,Phân bón,Bao,140000,Phân hữu cơ Sông Gianh 25kg,"phân hữu cơ, phân vi sinh",Phân hữu cơ vi sinh.,,"Cải tạo đất, bón lót","Rau màu, cây trồng",,,Còn hàng,,0,1,,
