item_code,item_name,item_group,stock_uom,selling_price,cago_display_name,cago_local_names,cago_public_description,cago_staff_advice,cago_use_cases,cago_crop_or_animal_targets,cago_package_color,cago_shelf_location,cago_stock_status_manual,cago_safety_notes,cago_is_chemical,cago_is_public_visible
CAM-GA-CON-25KG,Cám cò gà con 25kg,Cám gà,Bao,320000,Cám cò gà con 25kg,,Cám cò gà con 25kg.,,Thức ăn chăn nuôi,Gà con 1-21 ngày,,Kệ cám,Còn hàng,,0,1
CAM-GA-THIT-25KG,Cám gà thịt 25kg,Cám gà,Bao,300000,Cám gà thịt 25kg,,Cám gà thịt 25kg.,,Thức ăn chăn nuôi,Gà thịt,,Kệ cám,Còn hàng,,0,1
CAM-GA-DE-25KG,Cám gà đẻ 25kg,Cám gà,Bao,310000,Cám gà đẻ 25kg,,Cám gà đẻ 25kg.,,Thức ăn chăn nuôi,Gà đẻ,,Kệ cám,Còn hàng,,0,1
CAM-VIT-CON-25KG,Cám vịt con 25kg,Cám vịt / ngan,Bao,305000,Cám vịt con 25kg,,Cám vịt con 25kg.,,Thức ăn chăn nuôi,Vịt con,,Kệ cám,Còn hàng,,0,1
CAM-VIT-THIT-25KG,Cám vịt thịt 25kg,Cám vịt / ngan,Bao,295000,Cám vịt thịt 25kg,,Cám vịt thịt 25kg.,,Thức ăn chăn nuôi,Vịt thịt,,Kệ cám,Còn hàng,,0,1
CAM-NGAN-25KG,Cám ngan 25kg,Cám vịt / ngan,Bao,300000,Cám ngan 25kg,,Cám ngan 25kg.,,Thức ăn chăn nuôi,Ngan/vịt xiêm,,Kệ cám,Còn hàng,,0,1
CAM-LON-TAP-25KG,Cám lợn tập ăn 25kg,Cám lợn,Bao,360000,Cám lợn tập ăn 25kg,,Cám lợn tập ăn 25kg.,,Thức ăn chăn nuôi,Lợn con tập ăn,,Kệ cám,Còn hàng,,0,1
CAM-LON-THIT-25KG,Cám lợn thịt 25kg,Cám lợn,Bao,330000,Cám lợn thịt 25kg,,Cám lợn thịt 25kg.,,Thức ăn chăn nuôi,Lợn thịt,,Kệ cám,Còn hàng,,0,1
CAM-DAM-DAC-25KG,Cám đậm đặc cho lợn 25kg,Cám lợn,Bao,480000,Cám đậm đặc cho lợn 25kg,,Cám đậm đặc cho lợn 25kg.,,Thức ăn chăn nuôi,Lợn,,Kệ cám,Còn hàng,,0,1
CAM-CA-25KG,Cám cá 25kg,Cám cá,Bao,280000,Cám cá 25kg,,Cám cá 25kg.,,Thức ăn chăn nuôi,Cá nước ngọt,,Kệ cám,Còn hàng,,0,1
CAM-BO-25KG,Cám bò vỗ béo 25kg,Cám bò / trâu,Bao,270000,Cám bò vỗ béo 25kg,,Cám bò vỗ béo 25kg.,,Thức ăn chăn nuôi,Bò,,Kệ cám,Còn hàng,,0,1
PHAN-LAN-VD-25KG,Phân lân Văn Điển 25kg,Phân vô cơ,Bao,220000,Phân lân Văn Điển 25kg,,Phân lân Văn Điển 25kg.,,Bón cho cây trồng,"Lúa, ngô, cây ăn quả",,Kho phân,Còn hàng,,0,1
PHAN-URE-50KG,Đạm urea 50kg,Phân vô cơ,Bao,600000,Đạm urea 50kg,,Đạm urea 50kg.,,Bón cho cây trồng,"Lúa, ngô, rau màu",,Kho phân,Còn hàng,,0,1
NPK-16-16-8-50KG,Phân NPK 16-16-8 bao 50kg,Phân vô cơ,Bao,720000,Phân NPK 16-16-8 bao 50kg,,Phân NPK 16-16-8 bao 50kg.,,Bón cho cây trồng,"Lúa, ngô, cây ăn quả",,Kho phân,Còn ít,,0,1
NPK-20-20-15-50KG,Phân NPK 20-20-15+TE 50kg,Phân vô cơ,Bao,900000,Phân NPK 20-20-15+TE 50kg,,Phân NPK 20-20-15+TE 50kg.,,Bón cho cây trồng,"Cây ăn quả, cà phê",,Kho phân,Còn hàng,,0,1
PHAN-KALI-50KG,Phân kali (KCl) 50kg,Phân vô cơ,Bao,720000,Phân kali (KCl) 50kg,,Phân kali (KCl) 50kg.,,Bón cho cây trồng,"Cây ăn quả, lúa",,Kho phân,Còn hàng,,0,1
PHAN-DAP-50KG,Phân DAP 50kg,Phân vô cơ,Bao,850000,Phân DAP 50kg,,Phân DAP 50kg.,,Bón cho cây trồng,"Lúa, rau màu",,Kho phân,Còn hàng,,0,1
PHAN-NPK-THUONG-50KG,Phân NPK thường 50kg,Phân vô cơ,Bao,560000,Phân NPK thường 50kg,,Phân NPK thường 50kg.,,Bón cho cây trồng,Cây trồng nói chung,,Kho phân,Còn hàng,,0,1
PHAN-HC-TRUNQUE-25KG,Phân hữu cơ trùn quế 25kg,Phân hữu cơ,Bao,245000,Phân hữu cơ trùn quế 25kg,,Phân hữu cơ trùn quế 25kg.,,Bón cho cây trồng,"Rau, hoa, cây cảnh",,Kho phân,Còn hàng,,0,1
